pl_name,Ag,pl_eqt,habitability_index
HD 40307 g,10.6170654296875,255.0,0.9761091979623538
Kepler-967 c,9.489209983111278,258.0,0.9633532715177631
TOI-2257 b,11.09556268899435,256.0,0.9507990141467061
Kepler-1593 b,9.947357422205416,260.0,0.9371212267710928
HD 152843 c,7.929059192854138,253.08,0.9248890584330788
Kepler-991 b,10.617831235662473,260.0,0.9186699350350884
Wolf 1069 b,10.58641975308642,250.1,0.9131742593795874
Kepler-1636 b,9.863029454897488,248.0,0.9049957103574935
Kepler-1362 b,10.539349112426034,248.0,0.8870659884425067
TRAPPIST-1 e,8.012287334593573,249.7,0.8862200831835092
KIC 9663113 b,8.89224952741021,264.0,0.8834228770577116
Kepler-1097 b,9.866762015883173,267.0,0.8571470150810211
Kepler-1540 b,10.6849889517911,266.0,0.8480601367621117
Kepler-1690 b,10.293284547606799,267.0,0.8464362669503626
Kepler-705 b,11.22616293434559,265.0,0.8455582318280291
Kepler-725 c,10.020661157024794,268.0,0.8415935317145562
K2-332 b,11.095867768595042,266.0,0.8376008892755304
Kepler-1552 b,10.698093723876804,268.0,0.8248150161268902
Kepler-452 b,12.1351951522451,265.0,0.8221053882289706
TOI-700 d,10.63987791500084,268.8,0.8170762615933747
Kepler-1661 b,11.123797314531046,243.0,0.8074856799939742
Kepler-1341 b,10.106822071341483,241.0,0.8060365901162455
Kepler-1652 b,12.211718749999998,268.0,0.7873258513931889
Kepler-1544 b,11.815427345032193,269.0,0.786069713967222
TOI-700 e,8.82660268726692,272.9,0.7785543182673055
Kepler-1058 b,10.398194204152247,239.0,0.7729070339005916
Kepler-159 c,9.692039112150738,275.0,0.764576501163007
Kepler-1628 b,8.011629003819094,240.0,0.7628593895197435
Kepler-1545 b,10.418381344307269,274.0,0.7624309705110837
TOI-1227 b,7.112130823887214,243.77,0.7610973943112004
Kepler-1701 b,11.057248773013647,273.0,0.7592584562119318
Kepler-61 b,11.172742022714981,273.0,0.7565965890877524
Kepler-283 c,11.745562130177516,240.0,0.7544897747326897
Kepler-1996 c,10.301287977609201,276.0,0.7419049086456867
Kepler-442 b,12.880374248162171,241.0,0.7400768697318159
Kepler-712 c,8.749070039324053,236.0,0.7346960058439452
Kepler-296 f,11.766049382716051,274.0,0.7318337601447337
Kepler-26 e,10.781839155661919,276.0,0.7313251785475188
Teegarden's Star b,10.311111111111112,277.0,0.7300997592019265
HD 191939 g,9.458377420000572,278.0,0.7281760741840344
Kepler-298 d,10.6624,277.0,0.7224866873065016
Kepler-1143 c,9.527777777777777,234.0,0.7192254963629618
Kepler-1649 c,10.46635813456746,234.0,0.7059714076933166
HN Lib b,11.055371900826445,234.4,0.6987086817134665
Kepler-443 b,10.90312954742213,233.0,0.6838729567199325
Kepler-1634 b,9.91932076139189,282.0,0.6799722723905299
GJ 1002 b,9.976435102271658,230.9,0.6751654788672019
TOI-715 b,12.318834547346514,234.0,0.6669719042663892
Kepler-1840 b,10.326244723810383,284.0,0.6486860321522596
Kepler-1038 b,9.59481257373063,285.0,0.6466633758174672
Kepler-1653 b,11.134235171696151,284.0,0.6331210286842158
Kepler-1549 b,10.579115505155267,286.0,0.6208213838051653
Kepler-440 b,11.670713377269049,229.0,0.6175965085823846
Kepler-155 c,11.03515625,286.0,0.6123500386996904
Kepler-1554 b,10.196195005945302,288.0,0.60467762631264
L 98-59 f,12.527392257121988,285.0,0.5954569748394533
Kepler-1881 b,10.11250303852972,289.0,0.5945174905521101
K2-288 B b,11.59168975069252,226.36,0.5857502000615576
Kepler-438 b,11.406249999999998,288.0,0.5830323357413142
TOI-1266 d,11.911745276786895,288.0,0.5739901085679675
Kepler-315 c,9.161271592393671,291.0,0.5730566674996826
Kepler-439 b,11.03515625,291.0,0.5556509610423116
Kepler-1410 b,11.815427345032193,290.0,0.5535702211036775
K2-18 b,15.56303298972743,284.0,0.5478053500430904
PH2 b,9.7891978104905,295.1,0.5282343993818465
GJ 357 d,10.917525020089125,219.6,0.5107469821459923
TRAPPIST-1 d,6.123579582055709,286.2,0.5087595041688115
Kepler-397 c,8.108419476126143,295.0,0.5074218899535113
Proxima Cen b,9.937524029219531,218.0,0.504629273641192
TRAPPIST-1 f,9.324145509489254,217.7,0.5010144300373639
Kepler-22 b,20.22222222222222,279.0,0.4989488972977106
Kepler-196 d,10.465745693114979,297.0,0.49603472142967175
Kepler-1090 b,11.014716049382718,297.0,0.4879144168821957
K2-133 e,11.918874670052459,296.0,0.48557602838585884
Proxima Cen d,5.320926191987706,282.0,0.4836385497251267
Kepler-138 e,6.634036986251769,292.0,0.4825425961913288
TOI-904 c,11.144215717194339,217.26,0.4772734980028611
Kepler-1750 b,8.182030551341294,298.0,0.4753411396266334
Kepler-1455 b,11.153549382716047,298.0,0.4745617220247424
Kepler-737 b,11.479591836734695,298.0,0.46985109833407046
Kepler-1388 e,10.720470619340341,299.0,0.46937072741900443
Kepler-1868 b,9.978469253942952,215.0,0.4642314136888876
Kepler-560 b,11.958491076257438,298.0,0.4629320174740928
LHS 1140 b,18.336730261619167,226.0,0.46023797581501685
Kepler-69 c,11.964707089360832,299.0,0.45182215663440173
Kepler-289 e,19.727891156462587,286.0,0.45087508687685596
Kepler-1539 b,10.418381344307269,301.0,0.4505273916656404
Kepler-1040 b,11.280510355029588,300.0,0.45021657578218666
KOI-351 h,15.579920119038295,294.0,0.4497157463103676
Kepler-267 d,10.973626501581634,301.0,0.443078282228523
Kepler-1389 b,11.82418845159437,300.0,0.4427356250210613
Ross 128 b,11.13545978410843,301.0,0.44090714427924715
